Moon x	Moon y	Apollo x	Apollo y	t	vmag	r
382329427.455972	39990441.332538	433666139.092120	250487850.075223	39200.000000	1021.959948	384415174.644267
382318859.464938	40092089.435258	434311793.438567	250861184.449582	39300.000000	1021.959744	384415251.957900
382308264.648337	40193734.724900	434957434.313719	251234511.909234	39400.000000	1021.959539	384415329.467438
382297643.006929	40295377.194333	435603061.759978	251607832.473114	39500.000000	1021.959334	384415407.172875
382286994.541474	40397016.836427	436248675.819531	251981146.160065	39600.000000	1021.959128	384415485.074204
382276319.252737	40498653.644052	436894276.534355	252354452.988833	39700.000000	1021.958922	384415563.171422
382265617.141483	40600287.610079	437539863.946218	252727752.978073	39800.000000	1021.958716	384415641.464522
382254888.208479	40701918.727377	438185438.096680	253101046.146344	39900.000000	1021.958508	384415719.953499
382244132.454495	40803546.988819	438830999.027094	253474332.512116	40000.000000	1021.958301	384415798.638347
382233349.880300	40905172.387274	439476546.778608	253847612.093767	40100.000000	1021.958092	384415877.519060
382222540.486670	41006794.915614	440122081.392167	254220884.909586	40200.000000	1021.957884	384415956.595633
382211704.274378	41108414.566711	440767602.908511	254594150.977770	40300.000000	1021.957675	384416035.868059
382200841.244202	41210031.333436	441413111.368181	254967410.316429	40400.000000	1021.957465	384416115.336335
382189951.396920	41311645.208660	442058606.811516	255340662.943587	40500.000000	1021.957255	384416195.000453
382179034.733313	41413256.185257	442704089.278657	255713908.877177	40600.000000	1021.957044	384416274.860408
382168091.254164	41514864.256098	443349558.809547	256087148.135050	40700.000000	1021.956832	384416354.916194
382157120.960257	41616469.414055	443995015.443934	256460380.734969	40800.000000	1021.956621	384416435.167805
382146123.852379	41718071.652002	444640459.221371	256833606.694613	40900.000000	1021.956408	384416515.615237
382135099.931319	41819670.962812	445285890.181214	257206826.031577	41000.000000	1021.956196	384416596.258482
382124049.197866	41921267.339357	445931308.362631	257580038.763374	41100.000000	1021.955982	384416677.097535
382112971.652813	42022860.774511	446576713.804595	257953244.907433	41200.000000	1021.955768	384416758.132391
382101867.296955	42124451.261148	447222106.545891	258326444.481103	41300.000000	1021.955554	384416839.363044
382090736.131087	42226038.792141	447867486.625115	258699637.501650	41400.000000	1021.955339	384416920.789488
382079578.156007	42327623.360364	448512854.080675	259072823.986260	41500.000000	1021.955124	384417002.411716
382068393.372515	42429204.958693	449158208.950793	259446003.952042	41600.000000	1021.954908	384417084.229723
382057181.781414	42530783.580000	449803551.273504	259819177.416023	41700.000000	1021.954691	384417166.243503
382045943.383507	42632359.217161	450448881.086663	260192344.395154	41800.000000	1021.954474	384417248.453051
382034678.179600	42733931.863051	451094198.427937	260565504.906306	41900.000000	1021.954257	384417330.858360
382023386.170499	42835501.510545	451739503.334815	260938658.966277	42000.000000	1021.954039	384417413.459425
382012067.357016	42937068.152518	452384795.844605	261311806.591784	42100.000000	1021.953820	384417496.256239
382000721.739962	43038631.781847	453030075.994434	261684947.799473	42200.000000	1021.953601	384417579.248797
381989349.320149	43140192.391405	453675343.821253	262058082.605912	42300.000000	1021.953382	384417662.437092
381977950.098394	43241749.974071	454320599.361834	262431211.027596	42400.000000	1021.953161	384417745.821120
381966524.075513	43343304.522720	454965842.652774	262804333.080946	42500.000000	1021.952941	384417829.400873
381955071.252326	43444856.030228	455611073.730496	263177448.782310	42600.000000	1021.952720	384417913.176346
381943591.629654	43546404.489473	456256292.631247	263550558.147963	42700.000000	1021.952498	384417997.147533
381932085.208320	43647949.893331	456901499.391105	263923661.194110	42800.000000	1021.952276	384418081.314428
381920551.989148	43749492.234679	457546694.045973	264296757.936882	42900.000000	1021.952053	384418165.677024
381908991.972966	43851031.506396	458191876.631586	264669848.392342	43000.000000	1021.951830	384418250.235316
381897405.160602	43952567.701357	458837047.183509	265042932.576481	43100.000000	1021.951606	384418334.989297
381885791.552888	44054100.812443	459482205.737138	265416010.505222	43200.000000	1021.951382	384418419.938963
381874151.150655	44155630.832529	460127352.327705	265789082.194417	43300.000000	1021.951157	384418505.084305
381862483.954739	44257157.754496	460772486.990271	266162147.659852	43400.000000	1021.950932	384418590.425319
381850789.965975	44358681.571221	461417609.759737	266535206.917244	43500.000000	1021.950706	384418675.961998
381839069.185202	44460202.275583	462062720.670836	266908259.982243	43600.000000	1021.950480	384418761.694337
381827321.613260	44561719.860461	462707819.758142	267281306.870431	43700.000000	1021.950253	384418847.622328
381815547.250992	44663234.318735	463352907.056064	267654347.597325	43800.000000	1021.950026	384418933.745966
381803746.099242	44764745.643284	463997982.598852	268027382.178377	43900.000000	1021.949798	384419020.065244
381791918.158856	44866253.826987	464643046.420596	268400410.628972	44000.000000	1021.949570	384419106.580157
381780063.430681	44967758.862726	465288098.555227	268773432.964431	44100.000000	1021.949341	384419193.290699
381768181.915568	45069260.743379	465933139.036518	269146449.200013	44200.000000	1021.949112	384419280.196862
381756273.614369	45170759.461828	466578167.898085	269519459.350909	44300.000000	1021.948882	384419367.298640
381744338.527936	45272255.010952	467223185.173391	269892463.432250	44400.000000	1021.948651	384419454.596029
381732376.657127	45373747.383634	467868190.895740	270265461.459104	44500.000000	1021.948421	384419542.089021
381720388.002798	45475236.572753	468513185.098286	270638453.446476	44600.000000	1021.948189	384419629.777610
381708372.565809	45576722.571192	469158167.814028	271011439.409310	44700.000000	1021.947957	384419717.661789
381696330.347021	45678205.371833	469803139.075814	271384419.362488	44800.000000	1021.947725	384419805.741553
381684261.347298	45779684.967556	470448098.916342	271757393.320831	44900.000000	1021.947492	384419894.016895
381672165.567505	45881161.351244	471093047.368158	272130361.299101	45000.000000	1021.947258	384419982.487809
381660043.008508	45982634.515780	471737984.463661	272503323.311999	45100.000000	1021.947024	384420071.154288
381647893.671178	46084104.454046	472382910.235101	272876279.374166	45200.000000	1021.946790	384420160.016327
381635717.556385	46185571.158924	473027824.714581	273249229.500187	45300.000000	1021.946555	384420249.073918
381623514.665002	46287034.623299	473672727.934059	273622173.704583	45400.000000	1021.946319	384420338.327055
381611284.997904	46388494.840053	474317619.925348	273995112.001824	45500.000000	1021.946083	384420427.775732
381599028.555967	46489951.802069	474962500.720113	274368044.406315	45600.000000	1021.945846	384420517.419943
381586745.340071	46591405.502232	475607370.349881	274740970.932409	45700.000000	1021.945609	384420607.259681
381574435.351096	46692855.933426	476252228.846033	275113891.594399	45800.000000	1021.945372	384420697.294939
381562098.589924	46794303.088535	476897076.239808	275486806.406524	45900.000000	1021.945133	384420787.525712
381549735.057440	46895746.960443	477541912.562307	275859715.382965	46000.000000	1021.944895	384420877.951992
381537344.754530	46997187.542035	478186737.844490	276232618.537849	46100.000000	1021.944656	384420968.573774
381524927.682083	47098624.826197	478831552.117178	276605515.885245	46200.000000	1021.944416	384421059.391050
381512483.840988	47200058.805813	479476355.411053	276978407.439171	46300.000000	1021.944176	384421150.403815
381500013.232138	47301489.473769	480121147.756661	277351293.213586	46400.000000	1021.943935	384421241.612061
381487515.856427	47402916.822951	480765929.184412	277724173.222400	46500.000000	1021.943694	384421333.015782
381474991.714750	47504340.846245	481410699.724579	278097047.479464	46600.000000	1021.943452	384421424.614972
381462440.808006	47605761.536536	482055459.407302	278469915.998580	46700.000000	1021.943210	384421516.409624
381449863.137094	47707178.886713	482700208.262587	278842778.793494	46800.000000	1021.942967	384421608.399732
381437258.702916	47808592.889660	483344946.320305	279215635.877901	46900.000000	1021.942724	384421700.585288
381424627.506376	47910003.538266	483989673.610198	279588487.265444	47000.000000	1021.942480	384421792.966287
381411969.548379	48011410.825418	484634390.161873	279961332.969713	47100.000000	1021.942235	384421885.542721
381399284.829833	48112814.744003	485279096.004811	280334173.004246	47200.000000	1021.941991	384421978.314584
381386573.351647	48214215.286908	485923791.168360	280707007.382532	47300.000000	1021.941745	384422071.281870
381373835.114731	48315612.447023	486568475.681739	281079836.118007	47400.000000	1021.941499	384422164.444571
381361070.120001	48417006.217234	487213149.574041	281452659.224057	47500.000000	1021.941253	384422257.802682
381348278.368369	48518396.590432	487857812.874231	281825476.714018	47600.000000	1021.941006	384422351.356195
381335459.860755	48619783.559503	488502465.611145	282198288.601176	47700.000000	1021.940759	384422445.105104
381322614.598075	48721167.117339	489147107.813498	282571094.898769	47800.000000	1021.940511	384422539.049401
381309742.581252	48822547.256827	489791739.509876	282943895.619983	47900.000000	1021.940262	384422633.189080
