Moon x	Moon y	Apollo x	Apollo y	t	vmag	radM
319775112.559153	232721109.659173	365366155.467986	226488698.598890	224600.000000	1162.545585	46013889.103888
319720420.230094	232803547.790694	365431898.493437	226584560.535093	224700.000000	1162.244501	46131406.035346
319665707.301252	232885970.922540	365497600.362864	226680414.216882	224800.000000	1161.943975	46248920.602842
319610973.776825	232968379.049889	365563261.200484	226776259.617601	224900.000000	1161.644003	46366432.791916
319556219.661009	233050772.167922	365628881.129656	226872096.710929	225000.000000	1161.344582	46483942.588610
319501444.958003	233133150.271819	365694460.272895	226967925.470874	225100.000000	1161.045711	46601449.979457
319446649.672008	233215513.356763	365759998.751879	227063745.871767	225200.000000	1160.747385	46718954.951477
319391833.807224	233297861.417937	365825496.687454	227159557.888262	225300.000000	1160.449602	46836457.492166
319336997.367853	233380194.450527	365890954.199643	227255361.495327	225400.000000	1160.152359	46953957.589487
319282140.358097	233462512.449718	365956371.407657	227351156.668243	225500.000000	1159.855653	47071455.231865
319227262.782159	233544815.410698	366021748.429901	227446943.382597	225600.000000	1159.559483	47188950.408174
319172364.644244	233627103.328654	366087085.383978	227542721.614283	225700.000000	1159.263844	47306443.107737
319117445.948558	233709376.198777	366152382.386703	227638491.339493	225800.000000	1158.968734	47423933.320307
319062506.699307	233791634.016257	366217639.554105	227734252.534712	225900.000000	1158.674151	47541421.036072
319007546.900697	233873876.776286	366282857.001437	227830005.176722	226000.000000	1158.380091	47658906.245637
318952566.556938	233956104.474058	366348034.843185	227925749.242590	226100.000000	1158.086552	47776388.940025
318897565.672238	234038317.104767	366413173.193069	228021484.709669	226200.000000	1157.793532	47893869.110664
318842544.250808	234120514.663609	366478272.164059	228117211.555589	226300.000000	1157.501028	48011346.749381
318787502.296858	234202697.145779	366543331.868374	228212929.758263	226400.000000	1157.209037	48128821.848399
318732439.814601	234284864.546478	366608352.417493	228308639.295871	226500.000000	1156.917556	48246294.400325
318677356.808249	234367016.860903	366673333.922162	228404340.146869	226600.000000	1156.626583	48363764.398146
318622253.282016	234449154.084255	366738276.492400	228500032.289973	226700.000000	1156.336116	48481231.835222
318567129.240118	234531276.211736	366803180.237505	228595715.704168	226800.000000	1156.046152	48598696.705281
318511984.686769	234613383.238549	366868045.266061	228691390.368695	226900.000000	1155.756688	48716159.002410
318456819.626187	234695475.159897	366932871.685947	228787056.263051	227000.000000	1155.467722	48833618.721048
318401634.062588	234777551.970986	366997659.604339	228882713.366989	227100.000000	1155.179251	48951075.855988
318346428.000193	234859613.667022	367062409.127721	228978361.660509	227200.000000	1154.891274	49068530.402358
318291201.443219	234941660.243213	367127120.361889	229074001.123857	227300.000000	1154.603786	49185982.355626
318235954.395888	235023691.694769	367191793.411955	229169631.737526	227400.000000	1154.316787	49303431.711589
318180686.862421	235105708.016898	367256428.382359	229265253.482246	227500.000000	1154.030274	49420878.466368
318125398.847039	235187709.204812	367321025.376871	229360866.338985	227600.000000	1153.744243	49538322.616403
318070090.353968	235269695.253724	367385584.498597	229456470.288946	227700.000000	1153.458694	49655764.158449
318014761.387429	235351666.158848	367450105.849987	229552065.313563	227800.000000	1153.173623	49773203.089567
317959411.951650	235433621.915398	367514589.532841	229647651.394499	227900.000000	1152.889028	49890639.407120
317904042.050855	235515562.518590	367579035.648310	229743228.513641	228000.000000	1152.604907	50008073.108770
317848651.689271	235597487.963642	367643444.296911	229838796.653100	228100.000000	1152.321258	50125504.192471
317793240.871127	235679398.245773	367707815.578522	229934355.795207	228200.000000	1152.038077	50242932.656461
317737809.600652	235761293.360201	367772149.592396	230029905.922509	228300.000000	1151.755364	50360358.499264
317682357.882075	235843173.302148	367836446.437165	230125447.017769	228400.000000	1151.473115	50477781.719680
317626885.719627	235925038.066836	367900706.210842	230220979.063960	228500.000000	1151.191329	50595202.316780
317571393.117539	236006887.649488	367964929.010828	230316502.044266	228600.000000	1150.910003	50712620.289905
317515880.080044	236088722.045329	368029114.933920	230412015.942077	228700.000000	1150.629135	50830035.638656
317460346.611376	236170541.249585	368093264.076314	230507520.740985	228800.000000	1150.348722	50947448.362895
317404792.715769	236252345.257482	368157376.533610	230603016.424788	228900.000000	1150.068764	51064858.462736
317349218.397458	236334134.064249	368221452.400820	230698502.977479	229000.000000	1149.789256	51182265.938544
317293623.660680	236415907.665115	368285491.772369	230793980.383248	229100.000000	1149.510198	51299670.790929
317238008.509671	236497666.055311	368349494.742104	230889448.626482	229200.000000	1149.231587	51417073.020739
317182372.948671	236579409.230068	368413461.403297	230984907.691756	229300.000000	1148.953421	51534472.629063
317126716.981918	236661137.184619	368477391.848650	231080357.563838	229400.000000	1148.675698	51651869.617219
317071040.613652	236742849.914200	368541286.170300	231175798.227681	229500.000000	1148.398415	51769263.986755
317015343.848115	236824547.414044	368605144.459826	231271229.668423	229600.000000	1148.121571	51886655.739443
316959626.689547	236906229.679388	368668966.808252	231366651.871385	229700.000000	1147.845164	52004044.877276
316903889.142193	236987896.705471	368732753.306052	231462064.822068	229800.000000	1147.569192	52121431.402463
316848131.210295	237069548.487531	368796504.043153	231557468.506153	229900.000000	1147.293652	52238815.317426
